reference	sex
Allenopithecus_nigroviridis	NA
Aotus_nancymaae	F
Ateles_hybridus	F
Callimico_goeldii	NA
Callithrix_jacchus	M
Cephalopachus_bancanus	NA
Cercopithecus_mitis	F
Cheirogaleus_medius	F
Chlorocebus_sabaeus	F
Colobus_guereza	M
Daubentonia_madagascariensis	NA
Eulemur_flavifrons	NA
Eulemur_mongoz	M
Eulemur_rufifrons	F
Gorilla_gorilla	M
Homo_sapiens	F+Y
Hoolock_leuconedys	F
Hylobates_pileatus	M
Lemur_catta	M
Leontopithecus_rosalia	F
Macaca_fascicularis	M
Macaca_mulatta	M
Macaca_nemestrina	M
Macaca_thibetana	M
Mandrillus_sphinx	NA
Microcebus_murinus	F+M
Miopithecus_talapoin	M
Nasalis_larvatus	M
Nomascus_leucogenys	F
Nycticebus_coucang	M
Otolemur_crassicaudatus	NA
Pan_paniscus	M
Pan_troglodytes	M
Papio_anubis	M
Piliocolobus_tephrosceles	M
Pithecia_pithecia	F
Plecturocebus_cupreus	M
Pongo_abelii	M
Pongo_pygmaeus	M
Propithecus_coquereli	F
Rhinopithecus_roxellana	M
Saguinus_oedipus	M
Saimiri_boliviensis	F
Sapajus_apella	F
Symphalangus_syndactylus	M
Theropithecus_gelada	F
Trachypithecus_francoisi	M
Tupaia_belangeri	NA
Varecia_variegata	F
