species	fraction_of_reference_covered_threshold
Allenopithecus_nigroviridis_ssp	0.9
Allochrocebus_lhoesti_ssp	0.9
Allochrocebus_preussi_ssp	0.9
Allochrocebus_solatus_ssp	0.9
Alouatta_belzebul_ssp	0.9
Alouatta_caraya_ssp	0.9
Alouatta_discolor_ssp	0.9
Alouatta_juara_ssp	0.9
Alouatta_macconnelli_ssp	0.9
Alouatta_palliata_ssp	0.9
Alouatta_seniculus_ssp	0.9
Aotus_azarai_ssp	0.9
Aotus_griseimembra_ssp	0.9
Aotus_nancymaae_ssp	0.9
Aotus_trivirgatus_ssp	0.9
Aotus_vociferans_ssp	0.9
Arctocebus_calabarensis_ssp	0.75
Ateles_belzebuth_ssp	0.9
Ateles_chamek_ssp	0.9
Ateles_geoffroyi_ssp	0.9
Ateles_marginatus_ssp	0.9
Ateles_paniscus_ssp	0.9
Avahi_laniger_ssp	0.75
Avahi_occidentalis_ssp	0.75
Avahi_peyrierasi_ssp	0.75
Brachyteles_hypoxanthus_ssp	0.9
Cacajao_ayresi_ssp	0.9
Cacajao_calvus_ssp	0.9
Cacajao_hosomi_ssp	0.9
Cacajao_melanocephalus_ssp	0.9
Callimico_goeldii_ssp	0.9
Callithrix_geoffroyi_ssp	0.9
Callithrix_jacchus_ssp	0.9
Callithrix_kuhlii_ssp	0.9
Carlito_syrichta_ssp	0.9
Cebuella_niveiventris_ssp	0.9
Cebuella_pygmaea_ssp	0.9
Cebus_albifrons_ssp	0.9
Cebus_imitator_ssp	0.9
Cebus_olivaceus_ssp	0.9
Cebus_unicolor_ssp	0.9
Cephalopachus_bancanus_ssp	0.9
Cercocebus_atys_ssp	0.9
Cercocebus_chrysogaster_ssp	0.9
Cercocebus_lunulatus_ssp	0.9
Cercocebus_torquatus_ssp	0.9
Cercopithecus_ascanius_ssp	0.9
Cercopithecus_campbelli_ssp	0.9
Cercopithecus_cephus_ssp	0.9
Cercopithecus_denti_ssp	0.9
Cercopithecus_diana_ssp	0.9
Cercopithecus_hamlyni_ssp	0.9
Cercopithecus_mitis_ssp	0.9
Cercopithecus_mona_ssp	0.9
Cercopithecus_neglectus_ssp	0.9
Cercopithecus_nictitans_ssp	0.9
Cercopithecus_petaurista_ssp	0.9
Cercopithecus_pogonias_ssp	0.9
Cercopithecus_roloway_ssp	0.9
Cercopithecus_wolfi_ssp	0.9
Cheirogaleus_crossleyi_ssp	0.9
Cheirogaleus_major_ssp	0.9
Cheirogaleus_medius_ssp	0.9
Cheirogaleus_sibreei_ssp	0.9
Cheracebus_lucifer_ssp	0.9
Cheracebus_lugens_ssp	0.9
Cheracebus_regulus_ssp	0.9
Cheracebus_torquatus_ssp	0.9
Chiropotes_albinasus_ssp	0.9
Chiropotes_israelita_ssp	0.9
Chiropotes_sagulatus_ssp	0.9
Chlorocebus_aethiops_ssp	0.9
Chlorocebus_cynosuros_ssp	0.9
Chlorocebus_dryas_ssp	0.9
Chlorocebus_pygerythrus_ssp	0.9
Chlorocebus_sabaeus_ssp	0.9
Chlorocebus_tantalus_ssp	0.9
Colobus_angolensis_ssp	0.9
Colobus_guereza_ssp	0.9
Colobus_polykomos_ssp	0.9
Daubentonia_madagascariensis_ssp	0.9
Erythrocebus_patas_ssp	0.9
Eulemur_albifrons_ssp	0.9
Eulemur_cinereiceps_ssp	0.9
Eulemur_collaris_ssp	0.9
Eulemur_coronatus_ssp	0.9
Eulemur_flavifrons_ssp	0.9
Eulemur_fulvus_ssp	0.9
Eulemur_macaco_ssp	0.9
Eulemur_mongoz_ssp	0.9
Eulemur_rubriventer_ssp	0.9
Eulemur_rufifrons_ssp	0.9
Eulemur_rufus_ssp	0.9
Eulemur_sanfordi_ssp	0.9
Galago_moholi_ssp	0.9
Galago_senegalensis_ssp	0.9
Galagoides_demidoff_ssp	0.9
Gorilla_beringei_ssp	0.9
Gorilla_gorilla_ssp	0.9
Hapalemur_aureus_ssp	0.9
Hapalemur_griseus_ssp	0.9
Hapalemur_meridionalis_ssp	0.9
Hapalemur_occidentalis_ssp	0.9
Hoolock_hoolock_ssp	0.9
Hoolock_leuconedys_ssp	0.9
Hylobates_abbotti_ssp	0.9
Hylobates_agilis_ssp	0.9
Hylobates_klossii_ssp	0.9
Hylobates_lar_ssp	0.9
Hylobates_moloch_ssp	0.9
Hylobates_muelleri_ssp	0.9
Hylobates_pileatus_ssp	0.9
Indri_indri_ssp	0.75
Lagothrix_lagotricha_ssp	0.9
Lemur_catta_ssp	0.9
Leontocebus_fuscicollis_ssp	0.9
Leontocebus_nigricollis_ssp	0.9
Leontopithecus_chrysomelas_ssp	0.9
Leontopithecus_rosalia_ssp	0.9
Lepilemur_ankaranensis_ssp	0.75
Lepilemur_dorsalis_ssp	0.75
Lepilemur_mittermeieri_ssp	0.75
Lepilemur_mustelinus_ssp	0.75
Lepilemur_ruficaudatus_ssp	0.75
Lepilemur_sahamalazensis_ssp	0.75
Lepilemur_septentrionalis_ssp	0.75
Lophocebus_aterrimus_ssp	0.9
Loris_lydekkerianus_ssp	0.85
Loris_tardigradus_ssp	0.85
Macaca_arctoides_ssp	0.9
Macaca_assamensis_ssp	0.9
Macaca_brunnescens_ssp	0.9
Macaca_cyclopis_ssp	0.9
Macaca_fascicularis_ssp	0.9
Macaca_fuscata_ssp	0.9
Macaca_hecki_ssp	0.9
Macaca_leonina_ssp	0.9
Macaca_leucogenys_ssp	0.9
Macaca_maura_ssp	0.9
Macaca_mulatta_ssp	0.9
Macaca_nemestrina_ssp	0.9
Macaca_nigra_ssp	0.9
Macaca_nigrescens_ssp	0.9
Macaca_radiata_ssp	0.9
Macaca_siberu_ssp	0.9
Macaca_silenus_ssp	0.9
Macaca_sinica_ssp	0.9
Macaca_sylvanus_ssp	0.9
Macaca_thibetana_ssp	0.9
Macaca_tonkeana_ssp	0.9
Mandrillus_leucophaeus_ssp	0.9
Mandrillus_sphinx_ssp	0.9
Mico_argentatus_ssp	0.9
Mico_humeralifer_ssp	0.9
Mico_humilis_ssp	0.9
Microcebus_arnholdi_ssp	0.85
Microcebus_griseorufus_ssp	0.85
Microcebus_jonahi_ssp	0.85
Microcebus_mittermeieri_ssp	0.85
Microcebus_murinus_ssp	0.9
Microcebus_ravelobensis_ssp	0.85
Microcebus_tavaratra_ssp	0.85
Miopithecus_ogouensis_ssp	0.9
Miopithecus_talapoin_ssp	0.9
Mirza_coquereli_ssp	0.85
Mirza_zaza_ssp	0.85
Nasalis_larvatus_ssp	0.9
Nomascus_annamensis_ssp	0.9
Nomascus_concolor_ssp	0.9
Nomascus_gabriellae_ssp	0.9
Nomascus_leucogenys_ssp	0.9
Nomascus_siki_ssp	0.9
Nycticebus_bengalensis_ssp	0.9
Nycticebus_coucang_ssp	0.9
Otolemur_crassicaudatus_ssp	0.9
Otolemur_garnettii_ssp	0.9
Pan_paniscus_ssp	0.9
Pan_troglodytes_ssp	0.9
Papio_anubis_ssp	0.9
Papio_cynocephalus_ssp	0.9
Papio_hamadryas_ssp	0.9
Papio_kindae_ssp	0.9
Papio_papio_ssp	0.9
Papio_ursinus_ssp	0.9
Perodicticus_potto_ssp	0.75
Piliocolobus_badius_ssp	0.9
Piliocolobus_gordonorum_ssp	0.9
Piliocolobus_kirkii_ssp	0.9
Piliocolobus_tephrosceles_ssp	0.9
Pithecia_albicans_ssp	0.9
Pithecia_chrysocephala_ssp	0.9
Pithecia_hirsuta_ssp	0.9
Pithecia_mittermeieri_ssp	0.9
Pithecia_pissinattii_ssp	0.9
Pithecia_pithecia_ssp	0.9
Pithecia_vanzolinii_ssp	0.9
Plecturocebus_bernhardi_ssp	0.9
Plecturocebus_brunneus_ssp	0.9
Plecturocebus_caligatus_ssp	0.9
Plecturocebus_cinerascens_ssp	0.9
Plecturocebus_cupreus_ssp	0.9
Plecturocebus_donacophilus_ssp	0.9
Plecturocebus_dubius_ssp	0.9
Plecturocebus_grovesi_ssp	0.9
Plecturocebus_hoffmannsi_ssp	0.9
Plecturocebus_miltoni_ssp	0.9
Plecturocebus_moloch_ssp	0.9
Pongo_abelii_ssp	0.9
Pongo_pygmaeus_ssp	0.9
Pongo_tapanuliensis_ssp	0.9
Presbytis_comata_ssp	0.9
Presbytis_melalophos_ssp	0.9
Prolemur_simus_ssp	0.9
Propithecus_coquereli_ssp	0.75
Propithecus_deckenii_ssp	0.75
Propithecus_diadema_ssp	0.75
Propithecus_edwardsi_ssp	0.75
Propithecus_perrieri_ssp	0.75
Propithecus_tattersalli_ssp	0.75
Propithecus_verreauxi_ssp	0.75
Pygathrix_cinerea_ssp	0.9
Pygathrix_nemaeus_ssp	0.9
Pygathrix_nigripes_ssp	0.9
Rhinopithecus_avunculus_ssp	0.9
Rhinopithecus_bieti_ssp	0.9
Rhinopithecus_brelichi_ssp	0.9
Rhinopithecus_roxellana_ssp	0.9
Rhinopithecus_strykeri_ssp	0.9
Saguinus_bicolor_ssp	0.9
Saguinus_geoffroyi_ssp	0.9
Saguinus_imperator_ssp	0.9
Saguinus_inustus_ssp	0.9
Saguinus_labiatus_ssp	0.9
Saguinus_midas_ssp	0.9
Saguinus_mystax_ssp	0.9
Saguinus_oedipus_ssp	0.9
Saimiri_boliviensis_ssp	0.9
Saimiri_cassiquiarensis_ssp	0.9
Saimiri_macrodon_ssp	0.9
Saimiri_oerstedii_ssp	0.9
Saimiri_sciureus_ssp	0.9
Saimiri_ustus_ssp	0.9
Sapajus_apella_ssp	0.9
Semnopithecus_entellus_ssp	0.9
Semnopithecus_hypoleucos_ssp	0.9
Semnopithecus_priam_ssp	0.9
Semnopithecus_schistaceus_ssp	0.9
Symphalangus_syndactylus_ssp	0.9
Tarsius_dentatus_ssp	0.9
Tarsius_lariang_ssp	0.9
Tarsius_wallacei_ssp	0.9
Theropithecus_gelada_ssp	0.9
Trachypithecus_auratus_ssp	0.9
Trachypithecus_cristatus_ssp	0.9
Trachypithecus_ebenus_ssp	0.9
Trachypithecus_francoisi_ssp	0.9
Trachypithecus_geei_ssp	0.9
Trachypithecus_germaini_ssp	0.9
Trachypithecus_hatinhensis_ssp	0.9
Trachypithecus_johnii_ssp	0.9
Trachypithecus_laotum_ssp	0.9
Trachypithecus_obscurus_ssp	0.9
Trachypithecus_phayrei_ssp	0.9
Trachypithecus_pileatus_ssp	0.9
Trachypithecus_poliocephalus_ssp	0.9
Trachypithecus_vetulus_ssp	0.9
