group	family	genus	genotyping_species	total	passed
APE	Hominidae	Gorilla	Gorilla_beringei_ssp	28	22
APE	Hominidae	Gorilla	Gorilla_gorilla_ssp	179	63
APE	Hominidae	Pan	Pan_paniscus_ssp	23	17
APE	Hominidae	Pan	Pan_troglodytes_ssp	199	139
APE	Hominidae	Pongo	Pongo_abelii_ssp	27	23
APE	Hominidae	Pongo	Pongo_pygmaeus_ssp	26	20
APE	Hominidae	Pongo	Pongo_tapanuliensis_ssp	2	1
APE	Hylobatidae	Hoolock	Hoolock_hoolock_ssp	11	11
APE	Hylobatidae	Hoolock	Hoolock_leuconedys_ssp	2	2
APE	Hylobatidae	Hylobates	Hylobates_abbotti_ssp	1	1
APE	Hylobatidae	Hylobates	Hylobates_agilis_ssp	2	2
APE	Hylobatidae	Hylobates	Hylobates_klossii_ssp	1	1
APE	Hylobatidae	Hylobates	Hylobates_lar_ssp	4	4
APE	Hylobatidae	Hylobates	Hylobates_moloch_ssp	4	4
APE	Hylobatidae	Hylobates	Hylobates_muelleri_ssp	1	1
APE	Hylobatidae	Hylobates	Hylobates_pileatus_ssp	3	3
APE	Hylobatidae	Nomascus	Nomascus_annamensis_ssp	1	1
APE	Hylobatidae	Nomascus	Nomascus_concolor_ssp	1	1
APE	Hylobatidae	Nomascus	Nomascus_gabriellae_ssp	1	1
APE	Hylobatidae	Nomascus	Nomascus_leucogenys_ssp	4	3
APE	Hylobatidae	Nomascus	Nomascus_siki_ssp	1	1
APE	Hylobatidae	Symphalangus	Symphalangus_syndactylus_ssp	5	5
OWM	Cercopithecidae	Allenopithecus	Allenopithecus_nigroviridis_ssp	3	3
OWM	Cercopithecidae	Allochrocebus	Allochrocebus_lhoesti_ssp	3	3
OWM	Cercopithecidae	Allochrocebus	Allochrocebus_preussi_ssp	1	1
OWM	Cercopithecidae	Allochrocebus	Allochrocebus_solatus_ssp	1	1
OWM	Cercopithecidae	Cercocebus	Cercocebus_atys_ssp	15	13
OWM	Cercopithecidae	Cercocebus	Cercocebus_chrysogaster_ssp	1	1
OWM	Cercopithecidae	Cercocebus	Cercocebus_lunulatus_ssp	1	1
OWM	Cercopithecidae	Cercocebus	Cercocebus_torquatus_ssp	2	2
OWM	Cercopithecidae	Cercopithecus	Cercopithecus_ascanius_ssp	5	5
OWM	Cercopithecidae	Cercopithecus	Cercopithecus_campbelli_ssp	2	2
