,Sample,Genus,Species,family,XA_ratio
0,PD_0001,Cheracebus,Cheracebus_lugens_ssp,Pitheciidae,0.5162823199644082
2,PD_0004,Ateles,Ateles_belzebuth_ssp,Atelidae,0.6250347097278166
4,PD_0006,Chiropotes,Chiropotes_israelita_ssp,Pitheciidae,0.7209064556236902
5,PD_0007,Cebus,Cebus_olivaceus_ssp,Cebidae,0.4803879218849741
6,PD_0008,Aotus,Aotus_trivirgatus_ssp,Aotidae,0.36699073575147956
8,PD_0010,Cebuella,Cebuella_niveiventris_ssp,Callitrichidae,0.4431743153704741
9,PD_0011,Sapajus,Sapajus_apella_ssp,Cebidae,0.31071192943741277
10,PD_0012,Saimiri,Saimiri_ustus_ssp,Cebidae,0.46555067930697475
11,PD_0013,Cebus,Cebus_unicolor_ssp,Cebidae,0.559177339773978
12,PD_0014,Plecturocebus,Plecturocebus_cupreus_ssp,Pitheciidae,0.5769536182487083
15,PD_0017,Leontocebus,Leontocebus_nigricollis_ssp,Callitrichidae,0.45349082999685836
17,PD_0019,Cacajao,Cacajao_ayresi_ssp,Pitheciidae,0.7926522581578438
18,PD_0020,Cacajao,Cacajao_calvus_ssp,Pitheciidae,0.8312022227704491
19,PD_0021,Cacajao,Cacajao_calvus_ssp,Pitheciidae,0.9155574054844465
20,PD_0022,Cacajao,Cacajao_ayresi_ssp,Pitheciidae,0.775574337102987
21,PD_0023,Cacajao,Cacajao_calvus_ssp,Pitheciidae,0.8498475686589952
22,PD_0024,Cacajao,Cacajao_calvus_ssp,Pitheciidae,0.8421143686684512
23,PD_0025,Alouatta,Alouatta_seniculus_ssp,Atelidae,0.5565894193775198
24,PD_0026,Alouatta,Alouatta_seniculus_ssp,Atelidae,0.5903407667606732
25,PD_0027,Alouatta,Alouatta_discolor_ssp,Atelidae,0.5446977737893758
27,PD_0029,Allochrocebus,Allochrocebus_lhoesti_ssp,Cercopithecidae,0.36266807375882676
28,PD_0030,Allochrocebus,Allochrocebus_preussi_ssp,Cercopithecidae,0.40453674823440866
30,PD_0032,Cercopithecus,Cercopithecus_ascanius_ssp,Cercopithecidae,0.5928137943027595
36,PD_0039,Piliocolobus,Piliocolobus_badius_ssp,Cercopithecidae,1.065080064983739
39,PD_0042,Cercopithecus,Cercopithecus_mona_ssp,Cercopithecidae,0.5242017688354411
42,PD_0045,Piliocolobus,Piliocolobus_gordonorum_ssp,Cercopithecidae,1.3518689599778435
43,PD_0046,Piliocolobus,Piliocolobus_kirkii_ssp,Cercopithecidae,1.1249606577973907
44,PD_0047,Piliocolobus,Piliocolobus_tephrosceles_ssp,Cercopithecidae,1.1311020852589557
45,PD_0048,Trachypithecus,Trachypithecus_phayrei_ssp,Cercopithecidae,0.4624679956458474
47,PD_0050,Hylobates,Hylobates_agilis_ssp,Hylobatidae,0.7082912393186415
48,PD_0051,Nomascus,Nomascus_gabriellae_ssp,Hylobatidae,0.5552488986466683
49,PD_0052,Presbytis,Presbytis_comata_ssp,Cercopithecidae,0.4532659007091124
52,PD_0055,Colobus,Colobus_polykomos_ssp,Cercopithecidae,0.5339044220430126
57,PD_0060,Cercopithecus,Cercopithecus_hamlyni_ssp,Cercopithecidae,0.5969481597804362
58,PD_0061,Cercopithecus,Cercopithecus_mitis_ssp,Cercopithecidae,0.32266396143849735
61,PD_0066,Cercopithecus,Cercopithecus_ascanius_ssp,Cercopithecidae,0.5949772989667765
63,PD_0068,Cercocebus,Cercocebus_chrysogaster_ssp,Cercopithecidae,0.34958242675252815
67,PD_0072,Alouatta,Alouatta_seniculus_ssp,Atelidae,0.6567229524984584
71,PD_0076,Ateles,Ateles_marginatus_ssp,Atelidae,0.63665581059585
