,Sample,BIOSAMPLE_ID,Species,Chrom_Type,Genetic_sex,family,Het_Count,Callable_Length,Genus,Het_per_bp
910,PD_0810,SAMEA112483278,Aotus_azarai_ssp,X,F,Aotidae,470918,1754042472,Aotus,0.00026847582513954085
905,PD_0807,SAMEA112483275,Aotus_azarai_ssp,X,F,Aotidae,483588,1754042472,Aotus,0.00027569913939917413
906,PD_0808,SAMEA112483276,Aotus_azarai_ssp,A,F,Aotidae,22339030,33793214112,Aotus,0.0006610507638001616
907,PD_0808,SAMEA112483276,Aotus_azarai_ssp,X,F,Aotidae,503580,1754042472,Aotus,0.00028709681096023086
908,PD_0809,SAMEA112483277,Aotus_azarai_ssp,A,M,Aotidae,24826620,33793214112,Aotus,0.0007346628798822674
909,PD_0810,SAMEA112483278,Aotus_azarai_ssp,A,F,Aotidae,27397888,33793214112,Aotus,0.000810751173569814
917,PD_0815,SAMEA112483283,Aotus_azarai_ssp,A,M,Aotidae,25470368,33793214112,Aotus,0.0007537125032139352
913,PD_0812,SAMEA112483280,Aotus_azarai_ssp,A,M,Aotidae,25756038,33793214112,Aotus,0.0007621659755309871
914,PD_0813,SAMEA112483281,Aotus_azarai_ssp,A,M,Aotidae,30540384,33793214112,Aotus,0.0009037430976166035
915,PD_0814,SAMEA112483282,Aotus_azarai_ssp,A,F,Aotidae,28265566,33793214112,Aotus,0.0008364272752014693
916,PD_0814,SAMEA112483282,Aotus_azarai_ssp,X,F,Aotidae,533764,1754042472,Aotus,0.0003043050601798655
904,PD_0807,SAMEA112483275,Aotus_azarai_ssp,A,F,Aotidae,27332956,33793214112,Aotus,0.0008088297227192143
912,PD_0811,SAMEA112483279,Aotus_azarai_ssp,X,F,Aotidae,498848,1754042472,Aotus,0.00028439904276160536
903,PD_0806,SAMEA112483274,Aotus_azarai_ssp,A,M,Aotidae,30650172,33793214112,Aotus,0.0009069919155489887
911,PD_0811,SAMEA112483279,Aotus_azarai_ssp,A,F,Aotidae,23837226,33793214112,Aotus,0.0007053849900455423
898,PD_0801,SAMEA112483269,Aotus_azarai_ssp,A,M,Aotidae,79750328,33793214112,Aotus,0.0023599509574817445
897,PD_0800,SAMEA112483268,Aotus_azarai_ssp,X,F,Aotidae,2121266,1754042472,Aotus,0.0012093584014424025
896,PD_0800,SAMEA112483268,Aotus_azarai_ssp,A,F,Aotidae,77185920,33793214112,Aotus,0.0022840656631294273
895,PD_0799,SAMEA112483267,Aotus_azarai_ssp,A,M,Aotidae,79383178,33793214112,Aotus,0.002349086350203397
894,PD_0798,SAMEA112483266,Aotus_azarai_ssp,A,M,Aotidae,75545848,33793214112,Aotus,0.002235533079204017
901,PD_0804,SAMEA112483272,Aotus_griseimembra_ssp,A,M,Aotidae,17343972,9563650840,Aotus,0.0018135304487966856
900,PD_0803,SAMEA112483271,Aotus_griseimembra_ssp,A,M,Aotidae,14608108,9563650840,Aotus,0.0015274614521581594
899,PD_0802,SAMEA112483270,Aotus_griseimembra_ssp,A,M,Aotidae,15269024,9563650840,Aotus,0.0015965685338633713
902,PD_0805,SAMEA112483273,Aotus_griseimembra_ssp,A,M,Aotidae,16159576,9563650840,Aotus,0.0016896869480442053
1894,SAMN08978235,SAMN08978235,Aotus_nancymaae_ssp,X,F,Aotidae,11360880,3990234781,Aotus,0.002847170811626485
1893,SAMN08978235,SAMN08978235,Aotus_nancymaae_ssp,A,F,Aotidae,344355223,76653339997,Aotus,0.004492370756622961
1907,SAMN08978245,SAMN08978245,Aotus_nancymaae_ssp,A,F,Aotidae,355527747,76653339997,Aotus,0.0046381246663734985
1908,SAMN08978245,SAMN08978245,Aotus_nancymaae_ssp,X,F,Aotidae,10809018,3990234781,Aotus,0.0027088676715135876
1911,SAMN08978247,SAMN08978247,Aotus_nancymaae_ssp,X,F,Aotidae,11133867,3990234781,Aotus,0.002790278670572292
