Column	Description
ID	Sample ID: ncbi ID except for PGDP samples from Kuderna. However, for historical reasons, all baboons have ncbi ID in this column
ID_PGDP	The same as {ID} but baboons have the PGDP ID
group	Taxonomic group; can be ‘APE’ (apes), ‘OWM’ (old world monkeys), ‘PLA’ (platyrrhines, new world monkeys), ‘TAR’ (tartsiers) or ‘STR’ (strepsirrhines, lemurs and their kin)
family	Family
genus	Genus
species	Species adjective
subspecies	Subspecies adjective or ‘ssp’ if not available / applicable
species_full	Name in {genus}_{species}_{subspecies} format
species_short	As above but genus abbreviated to the first letter – just to make the label shorter
species_genotyping	Name in {genus}_{species}_ssp format as all subspecies were genotyped together
reference	Species name of the reference species in {genus}_{species} format; only Macaca_thibetana_thibetana and Saimiri_boliviensis_boliviensis had a subspecies label
SEX	Sex as reported in the ncbi meta information; can be ‘M’,  ‘F’ or ‘Unknown’
len_chrA	Cumulative length of autosomal contigs (genotyped with ploidy 2 in both males and females) longer than or equal to 1 Mb
len_chrA_contigs_shorter_than_1Mb	Cumulative length of autosomal contigs (genotyped with ploidy 2 in both males and females) shorter than 1 Mb
len_chrX	Cumulative length of chrX contigs (genotyped with ploidy 2 in females and 1 in males) longer than or equal to 1 Mb
len_chrX_contigs_shorter_than_1Mb	Cumulative length of chrX contigs (genotyped with ploidy 2 in females and 1 in males) shorter than 1 Mb
len_chrY	Cumulative length of chrY contigs (genotyped with ploidy 0 in females and 1 in males) longer than or equal to 1 Mb
len_chrY_contigs_shorter_than_1Mb	Cumulative length of chrY contigs (genotyped with ploidy 0 in females and 1 in males) shorter than 1 Mb
total_seq_chrA	Total length of reads mapped to autosomal contigs longer than or equal to 1 Mb
total_seq_chrX	Total length of reads mapped to chrX contigs longer than or equal to 1 Mb
total_seq_chrY	Total length of reads mapped to chrY contigs longer than or equal to 1 Mb
len_cov_chrA	Length of the autosomal contigs covered with at least one read
len_cov_chrX	Length of the chrX contigs covered with at least one read
len_cov_chrY	Length of the chrY contigs covered with at least one read
frac_cov_chrA	Fraction of the cumulative length of autosomal contigs longer than or equal to 1 Mb covered by at least one read ({len_cov_chrA}/{len_chrA})
frac_cov_chrX	Fraction of the cumulative length of hcrX contigs longer than or equal to 1 Mb covered by at least one read ({len_cov_chrX}/{len_chrX})
frac_cov_chrY	Fraction of the cumulative length of chrY contigs longer than or equal to 1 Mb covered by at least one read ({len_cov_chrY}/{len_chrY})
frac_cov_gw	Fraction of the cumulative length of all contigs longer than or equal to 1 Mb covered by at least one read
