ID	ID_PGDP	group	family	genus	species	subspecies	species_full	species_short	species_genotyping	reference	SEX	len_chrA	len_chrA_contigs_shorter_than_1Mb	len_chrX	len_chrX_contigs_shorter_than_1Mb	len_chrY	len_chrY_contigs_shorter_than_1Mb	total_seq_chrA	total_seq_chrX	total_seq_chrY	len_cov_chrA	len_cov_chrX	len_cov_chrY	frac_cov_chrA	frac_cov_chrX	frac_cov_chrY	frac_cov_gw	rel_frac_cov_YX	nonN_frac	frac_cov_gw_cor	threshold	threshold_chrX	good_frac_cov	cov_chrA	cov_chrX	cov_chrY	cov_gw	rel_cov_chrX	gSEX	gSEX_source	callable_chrA	callable_chrX	GT00_chrA	GT01_chrA	GT11_chrA	GTmis_chrA	GT00_chrX	GT0_chrX	GT01_chrX	GT11_chrX	GT1_chrX	GTmis_chrX	het_chrA	het_chrX	rel_chrX_het	hom_alt_chrA	hom_alt_chrX	hem_alt_chrX	rel_chrX_hom_alt	mis_chrA	mis_chrX	div_chrA	clade	subclade_split	sample_used_for_q	q25_div_chrA	q50_div_chrA	q75_div_chrA	q25_frac_cov_chrA	q50_frac_cov_chrA	q75_frac_cov_chrA	zscore_div_chrA	zscore_frac_cov_chrA	dupl_group	remove_as_duplicate	low_mis	low_frac_cov_qc	high_div_chrA_qc	high_mis_qc	low_div_chrA_qc	masterQC	manual_fix	reason	finalQC	Kuderna_AB_QC	Kuderna_COV_QC	relatives	remove_as_relative	generation	founder	remove_manual	pedigree_source	MQ1kb	MQ1Mb	total_reads	mapped_reads	properly_paired_reads	f_mapped_reads
PD_0028	PD_0028	OWM	Cercopithecidae	Allenopithecus	nigroviridis	ssp	Allenopithecus_nigroviridis_ssp	A.nigroviridis_ssp	Allenopithecus_nigroviridis_ssp	Allenopithecus_nigroviridis	M	2407070459	250827038	132264029	0	NA	NA	83759880847	2425840761	NA	2387885516	131207553	NA	0.992	0.992	NA	0.992	NA	0.9931	0.9989	0.9	0.9	TRUE	35.077	18.4886	NA	34.213	0.5271	M	chrX	2372517816	130312592	3025614	2590010	1968844	213943	NA	78651	NA	NA	105393	2416	0.0010917	NA	NA	0.0008299	NA	0.0008088	NA	9.02e-05	1.85e-05	0.0013757	Allenopithecus_nigroviridis_ssp1	0	TRUE	0.0010131	0.0013424	0.001359	0.992	0.992	0.9923	0.0962	0	NA	FALSE	TRUE	ok	ok	ok	ok	ok	NA	NA	ok	NA	NA	NA	NA	NA	NA	NA	NA	57.9131	58.6991	711178836	701921953	660643330	0.987
PD_0126	PD_0126	OWM	Cercopithecidae	Allenopithecus	nigroviridis	ssp	Allenopithecus_nigroviridis_ssp	A.nigroviridis_ssp	Allenopithecus_nigroviridis_ssp	Allenopithecus_nigroviridis	M	2407070459	250827038	132264029	0	NA	NA	79545145921	2347380655	NA	2387933666	131197138	NA	0.992	0.9919	NA	0.992	NA	0.9931	0.9989	0.9	0.9	TRUE	33.3113	17.892	NA	32.5082	0.5371	M	chrX	2372517816	130312592	2686871	3268644	1550548	292348	NA	94569	NA	NA	88705	3186	0.0013777	NA	NA	0.0006535	NA	0.0006807	NA	0.0001232	2.44e-05	0.0013424	Allenopithecus_nigroviridis_ssp1	0	TRUE	0.0010131	0.0013424	0.001359	0.992	0.992	0.9923	0	0	NA	FALSE	TRUE	ok	ok	ok	ok	ok	NA	NA	ok	NA	NA	NA	NA	NA	NA	NA	NA	57.6903	58.4785	708912064	697988173	670782916	0.985
SAMN15801446	SAMN15801446	OWM	Cercopithecidae	Allenopithecus	nigroviridis	ssp	Allenopithecus_nigroviridis_ssp	A.nigroviridis_ssp	Allenopithecus_nigroviridis_ssp	Allenopithecus_nigroviridis	F	2407070459	250827038	132264029	0	NA	NA	87700986116	4884093463	NA	2388996376	131256510	NA	0.9925	0.9924	NA	0.9925	NA	0.9931	0.9994	0.9	0.9	TRUE	36.7104	37.2103	NA	36.7364	1.0136	F	chrX	2372517816	130312592	4421474	3243819	477	132641	89578	NA	93476	22	NA	3384	0.0013672	0.0007173	0.5246463	2e-07	2e-07	NA	0.8397063	5.59e-05	2.6e-05	0.0006838	Allenopithecus_nigroviridis_ssp1	0	TRUE	0.0010131	0.0013424	0.001359	0.992	0.992	0.9923	-1.9038	2	NA	FALSE	TRUE	ok	ok	ok	ok	ok	NA	NA	ok	NA	NA	NA	NA	NA	NA	NA	NA	58.0422	58.7211	766867776	756051396	691711008	0.986
PD_0798	PD_0798	PLA	Aotidae	Aotus	azarai	ssp	Aotus_azarai_ssp	A.azarai_ssp	Aotus_azarai_ssp	Aotus_nancymaae	M	2808119848	149206485	140576249	0	NA	NA	105408771223	2729385603	NA	2707752552	138018463	NA	0.9643	0.9818	NA	0.9651	NA	1	0.9651	0.9	0.9	TRUE	38.9285	19.7755	NA	37.9996	0.508	M	chrX	2411071476	128526677	5944832	5391590	15077609	490119	NA	216295	NA	NA	742545	6559	0.0022362	NA	NA	0.0062535	NA	0.0057774	NA	0.0002033	5.1e-05	0.0073716	Aotus_nancymaae_ssp2	0	TRUE	0.0073857	0.007393	0.0073993	0.9554	0.964	0.9645	-1.572	0.0384	NA	FALSE	TRUE	ok	ok	ok	ok	ok	NA	NA	ok	NA	NA	NA	NA	NA	NA	NA	NA	49.6608	52.0338	786921690	772277736	732607686	0.981
PD_0799	PD_0799	PLA	Aotidae	Aotus	azarai	ssp	Aotus_azarai_ssp	A.azarai_ssp	Aotus_azarai_ssp	Aotus_nancymaae	M	2808119848	149206485	140576249	0	NA	NA	106778017753	2785819225	NA	2707515185	138063928	NA	0.9642	0.9821	NA	0.965	NA	1	0.965	0.9	0.9	TRUE	39.4376	20.1777	NA	38.5032	0.5116	M	chrX	2411071476	128526677	5780896	5665767	14961982	495505	NA	215994	NA	NA	743030	6375	0.0023499	NA	NA	0.0062055	NA	0.0057811	NA	0.0002055	4.96e-05	0.0073805	Aotus_nancymaae_ssp2	0	TRUE	0.0073857	0.007393	0.0073993	0.9554	0.964	0.9645	-0.9176	0.0274	NA	FALSE	TRUE	ok	ok	ok	ok	ok	NA	NA	ok	NA	NA	NA	NA	NA	NA	NA	NA	49.5849	51.9541	796610960	781758215	741188670	0.981
PD_0800	PD_0800	PLA	Aotidae	Aotus	azarai	ssp	Aotus_azarai_ssp	A.azarai_ssp	Aotus_azarai_ssp	Aotus_nancymaae	F	2808119848	149206485	140576249	0	NA	NA	119692363134	5788978078	NA	2712550810	138330399	NA	0.966	0.984	NA	0.9668	NA	1	0.9668	0.9	0.9	TRUE	44.1254	41.8489	NA	44.0149	0.9484	F	chrX	2411071476	128526677	5901983	5509826	15029401	462940	134828	NA	155346	659078	NA	16147	0.0022852	0.0012087	0.5289066	0.0062335	0.0051279	NA	0.822644	0.000192	0.0001256	0.0073761	Aotus_nancymaae_ssp2	0	TRUE	0.0073857	0.007393	0.0073993	0.9554	0.964	0.9645	-1.2393	0.2247	NA	FALSE	TRUE	ok	ok	ok	ok	ok	NA	NA	ok	NA	NA	NA	NA	NA	NA	NA	NA	49.7177	52.0946	915484180	898873984	856051202	0.982
PD_0801	PD_0801	PLA	Aotidae	Aotus	azarai	ssp	Aotus_azarai_ssp	A.azarai_ssp	Aotus_azarai_ssp	Aotus_nancymaae	M	2808119848	149206485	140576249	0	NA	NA	128166894176	3243151849	NA	2719232775	138155667	NA	0.9683	0.9828	NA	0.969	NA	1	0.969	0.9	0.9	TRUE	47.1335	23.4746	NA	45.9896	0.498	M	chrX	2411071476	128526677	5789222	5690623	14956964	467341	NA	218428	NA	NA	741185	5786	0.0023602	NA	NA	0.0062035	NA	0.0057668	NA	0.0001938	4.5e-05	0.0073836	Aotus_nancymaae_ssp2	0	TRUE	0.0073857	0.007393	0.0073993	0.9554	0.964	0.9645	-0.6917	0.4767	NA	FALSE	TRUE	ok	ok	ok	ok	ok	NA	NA	ok	NA	NA	NA	NA	NA	NA	NA	NA	49.6306	52	955309506	938002976	891658358	0.982
PD_0806	PD_0806	PLA	Aotidae	Aotus	azarai	ssp	Aotus_azarai_ssp	A.azarai_ssp	Aotus_azarai_ssp	Aotus_nancymaae	M	2808119848	149206485	140576249	0	NA	NA	172974223656	4455300432	NA	2720796748	138157705	NA	0.9689	0.9828	NA	0.9696	NA	1	0.9696	0.9	0.9	TRUE	63.5748	32.2479	NA	62.061	0.5072	M	chrX	2411071476	128526677	7623800	2184298	16755475	340577	NA	219808	NA	NA	741840	3751	0.0009059	NA	NA	0.0069494	NA	0.0057719	NA	0.0001413	2.92e-05	0.0074024	Aotus_nancymaae_ssp2	0	TRUE	0.0073857	0.007393	0.0073993	0.9554	0.964	0.9645	0.691	0.5425	NA	FALSE	TRUE	ok	ok	ok	ok	ok	NA	NA	ok	NA	NA	NA	NA	NA	NA	NA	NA	49.6592	52.0306	1294126216	1271074611	1213098044	0.982
PD_0807	PD_0807	PLA	Aotidae	Aotus	azarai	ssp	Aotus_azarai_ssp	A.azarai_ssp	Aotus_azarai_ssp	Aotus_nancymaae	F	2808119848	149206485	140576249	0	NA	NA	111431104985	5423480291	NA	2706675160	138067080	NA	0.9639	0.9822	NA	0.9647	NA	1	0.9647	0.9	0.9	TRUE	41.169	39.2815	NA	41.0774	0.9542	F	chrX	2411071476	128526677	7740570	1951065	16849541	362974	196668	NA	35959	719628	NA	13144	0.0008092	0.0002798	0.3457424	0.0069884	0.0055991	NA	0.8011923	0.0001505	0.0001023	0.007393	Aotus_nancymaae_ssp2	0	TRUE	0.0073857	0.007393	0.0073993	0.9554	0.964	0.9645	0.0034	-0.0055	NA	FALSE	TRUE	ok	ok	ok	ok	ok	NA	NA	ok	NA	NA	NA	NA	NA	NA	NA	NA	49.7176	52.0926	853710494	837629791	799230816	0.981
PD_0808	PD_0808	PLA	Aotidae	Aotus	azarai	ssp	Aotus_azarai_ssp	A.azarai_ssp	Aotus_azarai_ssp	Aotus_nancymaae	F	2808119848	149206485	140576249	0	NA	NA	106924999287	5239288385	NA	2703607596	138008383	NA	0.9628	0.9817	NA	0.9637	NA	1	0.9637	0.9	0.9	TRUE	39.549	37.9636	NA	39.472	0.9599	F	chrX	2411071476	128526677	7913876	1594015	17043664	352595	196114	NA	37562	718708	NA	13015	0.0006611	0.0002923	0.4420517	0.0070689	0.0055919	NA	0.7910543	0.0001462	0.0001013	0.0073995	Aotus_nancymaae_ssp2	0	TRUE	0.0073857	0.007393	0.0073993	0.9554	0.964	0.9645	0.479	-0.126	NA	FALSE	TRUE	ok	ok	ok	ok	ok	NA	NA	ok	NA	NA	NA	NA	NA	NA	NA	NA	49.7277	52.1018	818662542	803578852	765526494	0.982
