reference_species	chrom	annotation	length
Callithrix_jacchus	NC_071464.1	chrX	146897247
Callithrix_jacchus	NC_071465.1	chrY	4974773
Callithrix_jacchus	NW_026527885.1	chrX	95879
Callithrix_jacchus	NW_026527886.1	chrX	49303
Callithrix_jacchus	NW_026527887.1	chrX	46763
Callithrix_jacchus	NW_026527888.1	chrX	45658
Callithrix_jacchus	NW_026527889.1	chrX	33897
Callithrix_jacchus	NW_026527890.1	chrX	31835
Callithrix_jacchus	NW_026527891.1	chrX	31203
Callithrix_jacchus	NW_026527892.1	chrX	29991
Callithrix_jacchus	NW_026527893.1	chrX	28803
Callithrix_jacchus	NW_026527894.1	chrX	20338
Callithrix_jacchus	NW_026527895.1	chrX	20229
Callithrix_jacchus	NW_026527896.1	chrX	20074
Callithrix_jacchus	NW_026527897.1	chrX	17761
Callithrix_jacchus	NW_026527898.1	chrX	13900
Callithrix_jacchus	NW_026527899.1	chrX	11904
Callithrix_jacchus	NW_026527907.1	chrY	104301
Callithrix_jacchus	NW_026527932.1	chrY	103622
Callithrix_jacchus	NW_026527906.1	chrY	104100
Callithrix_jacchus	NW_026527911.1	chrY	85974
Callithrix_jacchus	NW_026527922.1	chrY	83703
Callithrix_jacchus	NW_026527933.1	chrY	80566
Callithrix_jacchus	NW_026527918.1	chrY	74210
Callithrix_jacchus	NW_026527927.1	chrY	75193
Callithrix_jacchus	NW_026527909.1	chrY	62010
Callithrix_jacchus	NW_026527928.1	chrY	58586
Callithrix_jacchus	NW_026527916.1	chrY	62023
Callithrix_jacchus	NW_026527900.1	chrY	51736
Callithrix_jacchus	NW_026527919.1	chrY	50700
Callithrix_jacchus	NW_026527937.1	chrY	50274
Callithrix_jacchus	NW_026527915.1	chrY	50261
Callithrix_jacchus	NW_026527926.1	chrY	49900
Callithrix_jacchus	NW_026527934.1	chrY	49562
Callithrix_jacchus	NW_026527921.1	chrY	48205
Callithrix_jacchus	NW_026527923.1	chrY	46310
Callithrix_jacchus	NW_026527913.1	chrY	51779
Callithrix_jacchus	NW_026527912.1	chrY	46089
Callithrix_jacchus	NW_026527904.1	chrY	43511
Callithrix_jacchus	NW_026527935.1	chrY	43267
Callithrix_jacchus	NW_026527931.1	chrY	42403
Callithrix_jacchus	NW_026527929.1	chrY	40190
Callithrix_jacchus	NW_026527910.1	chrY	39618
Callithrix_jacchus	NW_026527930.1	chrY	36304
Callithrix_jacchus	NW_026527905.1	chrY	35331
Callithrix_jacchus	NW_026527925.1	chrY	34839
Callithrix_jacchus	NW_026527902.1	chrY	32161
Callithrix_jacchus	NW_026527908.1	chrY	35322
Callithrix_jacchus	NW_026527920.1	chrY	31730
Callithrix_jacchus	NW_026527936.1	chrY	28394
Callithrix_jacchus	NW_026527901.1	chrY	35024
Callithrix_jacchus	NW_026527914.1	chrY	27523
Callithrix_jacchus	NW_026527924.1	chrY	26569
Callithrix_jacchus	NW_026527917.1	chrY	22585
Callithrix_jacchus	NW_026527903.1	chrY	19927
Callithrix_jacchus	NW_026527940.1	chrY	56109
Callithrix_jacchus	NW_026527939.1	chrY	40067
Callithrix_jacchus	NW_026527945.1	chrY	54979
Callithrix_jacchus	NW_026527944.1	chrY	49578
Callithrix_jacchus	NW_026527947.1	chrY	45734
Callithrix_jacchus	NW_026527943.1	chrY	45594
Callithrix_jacchus	NW_026527946.1	chrY	33950
Callithrix_jacchus	NW_026527951.1	chrY	231563
Callithrix_jacchus	NW_026527954.1	chrY	115629
Callithrix_jacchus	NW_026527952.1	chrY	106915
Callithrix_jacchus	NW_026527961.1	chrY	97668
Callithrix_jacchus	NW_026527955.1	chrY	95816
Callithrix_jacchus	NW_026527960.1	chrY	87678
Callithrix_jacchus	NW_026527957.1	chrY	75465
Callithrix_jacchus	NW_026527965.1	chrY	62656
Callithrix_jacchus	NW_026527964.1	chrY	61662
Callithrix_jacchus	NW_026527962.1	chrY	57587
Callithrix_jacchus	NW_026527959.1	chrY	55050
Callithrix_jacchus	NW_026527963.1	chrY	47038
Callithrix_jacchus	NW_026527953.1	chrY	42677
Callithrix_jacchus	NW_026527956.1	chrY	36895
Callithrix_jacchus	NW_026527958.1	chrY	31035
Callithrix_jacchus	NW_026527967.1	chrY	236522
