reference	length_class	chr	annotation	ref_len	below_1mb
Allenopithecus_nigroviridis	1e+06	autosomes	NA	250827038	TRUE
Allenopithecus_nigroviridis	29743482	autosomes	NA	29743482	FALSE
Allenopithecus_nigroviridis	39541252	autosomes	NA	39541252	FALSE
Allenopithecus_nigroviridis	42676822	autosomes	NA	42676822	FALSE
Allenopithecus_nigroviridis	67966000	autosomes	NA	67966000	FALSE
Allenopithecus_nigroviridis	68035352	autosomes	NA	68035352	FALSE
Allenopithecus_nigroviridis	68352201	autosomes	NA	68352201	FALSE
Allenopithecus_nigroviridis	83703193	autosomes	NA	83703193	FALSE
Allenopithecus_nigroviridis	84253057	autosomes	NA	84253057	FALSE
Allenopithecus_nigroviridis	85484296	autosomes	NA	85484296	FALSE
Allenopithecus_nigroviridis	93636631	autosomes	NA	93636631	FALSE
Allenopithecus_nigroviridis	100068026	autosomes	NA	100068026	FALSE
Allenopithecus_nigroviridis	100818475	autosomes	NA	100818475	FALSE
Allenopithecus_nigroviridis	114367930	autosomes	NA	114367930	FALSE
Allenopithecus_nigroviridis	115073448	autosomes	NA	115073448	FALSE
Allenopithecus_nigroviridis	118705685	autosomes	NA	118705685	FALSE
Allenopithecus_nigroviridis	119237272	autosomes	NA	119237272	FALSE
Allenopithecus_nigroviridis	119957108	autosomes	NA	119957108	FALSE
Allenopithecus_nigroviridis	130436357	autosomes	NA	130436357	FALSE
Allenopithecus_nigroviridis	132264030	chrX	NA	132264030	FALSE
Allenopithecus_nigroviridis	136222381	autosomes	NA	136222381	FALSE
Allenopithecus_nigroviridis	153277761	autosomes	NA	153277761	FALSE
Allenopithecus_nigroviridis	161743863	autosomes	NA	161743863	FALSE
Allenopithecus_nigroviridis	170753165	autosomes	NA	170753165	FALSE
Allenopithecus_nigroviridis	203016725	autosomes	NA	203016725	FALSE
Aotus_nancymaae	1e+06	autosomes	NA	149206485	TRUE
Aotus_nancymaae	1013915	autosomes	NA	1013915	FALSE
Aotus_nancymaae	1033533	autosomes	NA	1033533	FALSE
Aotus_nancymaae	1061704	autosomes	NA	1061704	FALSE
Aotus_nancymaae	1139626	autosomes	NA	1139626	FALSE
Aotus_nancymaae	1148434	autosomes	NA	1148434	FALSE
Aotus_nancymaae	1156117	autosomes	NA	1156117	FALSE
Aotus_nancymaae	1230412	autosomes	NA	1230412	FALSE
Aotus_nancymaae	1265949	autosomes	NA	1265949	FALSE
Aotus_nancymaae	1321757	autosomes	NA	1321757	FALSE
Aotus_nancymaae	1326925	autosomes	NA	1326925	FALSE
Aotus_nancymaae	1426090	autosomes	NA	1426090	FALSE
Aotus_nancymaae	1494538	autosomes	NA	1494538	FALSE
Aotus_nancymaae	1503874	autosomes	NA	1503874	FALSE
Aotus_nancymaae	1545901	autosomes	NA	1545901	FALSE
Aotus_nancymaae	1557127	autosomes	NA	1557127	FALSE
Aotus_nancymaae	1631475	autosomes	NA	1631475	FALSE
Aotus_nancymaae	1649021	autosomes	NA	1649021	FALSE
Aotus_nancymaae	1681635	autosomes	NA	1681635	FALSE
Aotus_nancymaae	1750657	autosomes	NA	1750657	FALSE
Aotus_nancymaae	1830167	autosomes	NA	1830167	FALSE
Aotus_nancymaae	1849486	autosomes	NA	1849486	FALSE
Aotus_nancymaae	2132218	autosomes	NA	2132218	FALSE
Aotus_nancymaae	2145027	autosomes	NA	2145027	FALSE
Aotus_nancymaae	2160086	autosomes	NA	2160086	FALSE
Aotus_nancymaae	2310207	autosomes	NA	2310207	FALSE
Aotus_nancymaae	2320923	autosomes	NA	2320923	FALSE
Aotus_nancymaae	2362792	autosomes	NA	2362792	FALSE
Aotus_nancymaae	2390071	autosomes	NA	2390071	FALSE
Aotus_nancymaae	2411680	autosomes	NA	2411680	FALSE
Aotus_nancymaae	2462777	autosomes	NA	2462777	FALSE
Aotus_nancymaae	2464323	autosomes	NA	2464323	FALSE
Aotus_nancymaae	2587364	autosomes	NA	2587364	FALSE
Aotus_nancymaae	2600389	autosomes	NA	2600389	FALSE
Aotus_nancymaae	2676716	autosomes	NA	2676716	FALSE
Aotus_nancymaae	2678647	autosomes	NA	2678647	FALSE
Aotus_nancymaae	2695677	autosomes	NA	2695677	FALSE
Aotus_nancymaae	2761332	autosomes	NA	2761332	FALSE
Aotus_nancymaae	2762810	autosomes	NA	2762810	FALSE
Aotus_nancymaae	2779755	autosomes	NA	2779755	FALSE
Aotus_nancymaae	2794615	autosomes	NA	2794615	FALSE
Aotus_nancymaae	2805987	autosomes	NA	2805987	FALSE
Aotus_nancymaae	2949411	autosomes	NA	2949411	FALSE
Aotus_nancymaae	2992996	autosomes	NA	2992996	FALSE
Aotus_nancymaae	3054600	autosomes	NA	3054600	FALSE
Aotus_nancymaae	3140929	autosomes	NA	3140929	FALSE
Aotus_nancymaae	3297667	autosomes	NA	3297667	FALSE
Aotus_nancymaae	3377906	autosomes	NA	3377906	FALSE
Aotus_nancymaae	3445789	autosomes	NA	3445789	FALSE
Aotus_nancymaae	3893910	chrX	NA	3893910	FALSE
Aotus_nancymaae	3938211	autosomes	NA	3938211	FALSE
Aotus_nancymaae	4149963	autosomes	NA	4149963	FALSE
Aotus_nancymaae	4167474	autosomes	NA	4167474	FALSE
Aotus_nancymaae	4183189	autosomes	NA	4183189	FALSE
Aotus_nancymaae	4459416	autosomes	NA	4459416	FALSE
Aotus_nancymaae	4648776	autosomes	NA	4648776	FALSE
Aotus_nancymaae	4722556	autosomes	NA	4722556	FALSE
Aotus_nancymaae	4901326	chrX	NA	4901326	FALSE
Aotus_nancymaae	4962534	autosomes	NA	4962534	FALSE
Aotus_nancymaae	4976382	autosomes	NA	4976382	FALSE
Aotus_nancymaae	5147497	autosomes	NA	5147497	FALSE
Aotus_nancymaae	5233848	autosomes	NA	5233848	FALSE
Aotus_nancymaae	5280296	autosomes	NA	5280296	FALSE
Aotus_nancymaae	5296143	autosomes	NA	5296143	FALSE
Aotus_nancymaae	5307214	chrX	NA	5307214	FALSE
Aotus_nancymaae	5415122	autosomes	NA	5415122	FALSE
Aotus_nancymaae	5738410	autosomes	NA	5738410	FALSE
Aotus_nancymaae	5960492	autosomes	NA	5960492	FALSE
Aotus_nancymaae	6684421	autosomes	NA	6684421	FALSE
Aotus_nancymaae	6942600	autosomes	NA	6942600	FALSE
Aotus_nancymaae	6986378	autosomes	NA	6986378	FALSE
Aotus_nancymaae	7147416	autosomes	NA	7147416	FALSE
Aotus_nancymaae	7405797	autosomes	NA	7405797	FALSE
Aotus_nancymaae	7883328	autosomes	NA	7883328	FALSE
Aotus_nancymaae	7956043	autosomes	NA	7956043	FALSE
Aotus_nancymaae	8458670	autosomes	NA	8458670	FALSE
Aotus_nancymaae	8684035	autosomes	NA	8684035	FALSE
Aotus_nancymaae	8684049	autosomes	NA	8684049	FALSE
Aotus_nancymaae	9343941	autosomes	NA	9343941	FALSE
Aotus_nancymaae	11123981	autosomes	NA	11123981	FALSE
Aotus_nancymaae	11819478	autosomes	NA	11819478	FALSE
Aotus_nancymaae	12056598	autosomes	NA	12056598	FALSE
Aotus_nancymaae	12360192	autosomes	NA	12360192	FALSE
Aotus_nancymaae	12364444	autosomes	NA	12364444	FALSE
Aotus_nancymaae	12966760	autosomes	NA	12966760	FALSE
Aotus_nancymaae	13350194	autosomes	NA	13350194	FALSE
Aotus_nancymaae	13800520	autosomes	NA	13800520	FALSE
Aotus_nancymaae	14397176	autosomes	NA	14397176	FALSE
Aotus_nancymaae	14692449	autosomes	NA	14692449	FALSE
Aotus_nancymaae	14981868	autosomes	NA	14981868	FALSE
Aotus_nancymaae	15627134	autosomes	NA	15627134	FALSE
Aotus_nancymaae	16244225	autosomes	NA	16244225	FALSE
Aotus_nancymaae	16661174	autosomes	NA	16661174	FALSE
Aotus_nancymaae	18389824	autosomes	NA	18389824	FALSE
