ID	ID_PGDP	species_full	group	family	genus	species	subspecies	reference	genotyping_species	len_chrA	len_chrA_contigs_longer_than_1Mb	len_chrA_contigs_shorter_than_1Mb	len_chrX	len_chrX_contigs_longer_than_1Mb	len_chrX_contigs_shorter_than_1Mb	len_chrY	len_mtDNA	len_cov_chrA	len_cov_chrX	len_cov_chrY	len_cov_mtDNA	total_seq_chrA	total_seq_chrX	total_seq_chrY	total_seq_mtDNA	frac_cov_chrA	frac_cov_chrX	frac_cov_chrY	frac_cov_mtDNA	cov_chrA	cov_chrX	cov_chrY	cov_mtDNA	cutoff	good_sample	chrA_GT00	chrA_GT01	chrA_GT11	chrA_GTmis	chrX_GT00	chrX_GT0	chrX_GT01	chrX_GT11	chrX_GT1	chrX_GTmis	callable_chrA	callable_chrX	sex	rel_cov_chrX	gSEX	het_chrA	het_chrX	rel_chrX_het	hom_alt_chrA	hom_alt_chrX	rel_chrX_alt	hem_alt_chrX	mis_chrA	mis_chrX
PD_0028	PD_0028	Allenopithecus_nigroviridis_ssp	OWM	Cercopithecidae	Allenopithecus	nigroviridis	ssp	Allenopithecus_nigroviridis_ssp	Allenopithecus_nigroviridis_ssp	2657897520	2407070482	250827038	132264030	132264030	NA	NA	NA	2623519685	131207553	NA	NA	101646168001	2425840761	NA	NA	0.9871	0.992	NA	NA	38.7442	18.4886	NA	NA	0.9	TRUE	3025614	2590010	1968844	213943	0	78651	0	0	105393	2416	2372517816	130312592	M	0.4772	M	0.001092	0	0	0.00083	0	0	0.000809	9e-05	1.9e-05
PD_0126	PD_0126	Allenopithecus_nigroviridis_ssp	OWM	Cercopithecidae	Allenopithecus	nigroviridis	ssp	Allenopithecus_nigroviridis_ssp	Allenopithecus_nigroviridis_ssp	2657897520	2407070482	250827038	132264030	132264030	NA	NA	NA	2623734749	131197138	NA	NA	96867935732	2347380655	NA	NA	0.9871	0.9919	NA	NA	36.9199	17.892	NA	NA	0.9	TRUE	2686871	3268644	1550548	292348	0	94569	0	0	88705	3186	2372517816	130312592	M	0.4846	M	0.001378	0	0	0.000654	0	0	0.000681	0.000123	2.4e-05
SAMN15801446	SAMN15801446	Allenopithecus_nigroviridis_ssp	OWM	Cercopithecidae	Allenopithecus	nigroviridis	ssp	Allenopithecus_nigroviridis_ssp	Allenopithecus_nigroviridis_ssp	2657897520	2407070482	250827038	132264030	132264030	NA	NA	NA	2639657130	131256510	NA	NA	107129895054	4884093463	NA	NA	0.9931	0.9924	NA	NA	40.5848	37.2103	NA	NA	0.9	TRUE	4421474	3243819	477	132641	89578	0	93476	22	0	3384	2372517816	130312592	F	0.9169	F	0.001367	0.000717	0.5245	0	0	NA	0	5.6e-05	2.6e-05
PD_0798	PD_0798	Aotus_azarai_ssp	PLA	Aotidae	Aotus	azarai	ssp	Aotus_nancymaae_ssp	Aotus_azarai_ssp	2961220378	2812013893	149206485	136682344	136682344	NA	NA	NA	2834856150	134215546	NA	NA	111951190242	2614605932	NA	NA	0.9573	0.982	NA	NA	39.491	19.4806	NA	NA	0.9	TRUE	5949526	5396132	15098023	492928	0	208778	0	0	716765	5683	2413972185	125288748	M	0.4933	M	0.002235	0	0	0.006254	0	0	0.005721	0.000204	4.5e-05
PD_0799	PD_0799	Aotus_azarai_ssp	PLA	Aotidae	Aotus	azarai	ssp	Aotus_nancymaae_ssp	Aotus_azarai_ssp	2961220378	2812013893	149206485	136682344	136682344	NA	NA	NA	2834860480	134257505	NA	NA	113253917458	2669673628	NA	NA	0.9573	0.9823	NA	NA	39.9504	19.8847	NA	NA	0.9	TRUE	5785605	5670227	14982436	498341	0	208467	0	0	717311	5448	2413972185	125288748	M	0.4977	M	0.002349	0	0	0.006207	0	0	0.005725	0.000206	4.3e-05
PD_0800	PD_0800	Aotus_azarai_ssp	PLA	Aotidae	Aotus	azarai	ssp	Aotus_nancymaae_ssp	Aotus_azarai_ssp	2961220378	2812013893	149206485	136682344	136682344	NA	NA	NA	2842624725	134526887	NA	NA	127514339481	5630143562	NA	NA	0.96	0.9842	NA	NA	44.858	41.8514	NA	NA	0.9	TRUE	5908302	5513280	15051274	463753	130263	0	151519	635335	0	14109	2413972185	125288748	F	0.933	F	0.002284	0.001209	0.5293	0.006235	0.005071	0.8133	0	0.000192	0.000113
PD_0801	PD_0801	Aotus_azarai_ssp	PLA	Aotidae	Aotus	azarai	ssp	Aotus_nancymaae_ssp	Aotus_azarai_ssp	2961220378	2812013893	149206485	136682344	136682344	NA	NA	NA	2849060314	134349643	NA	NA	135806563453	3128291287	NA	NA	0.9621	0.9829	NA	NA	47.6671	23.2847	NA	NA	0.9	TRUE	5793662	5696452	14977532	468963	0	210817	0	0	715467	4942	2413972185	125288748	M	0.4885	M	0.00236	0	0	0.006205	0	0	0.005711	0.000194	3.9e-05
PD_0806	PD_0806	Aotus_azarai_ssp	PLA	Aotidae	Aotus	azarai	ssp	Aotus_nancymaae_ssp	Aotus_azarai_ssp	2961220378	2812013893	149206485	136682344	136682344	NA	NA	NA	2853224256	134346524	NA	NA	183696017687	4301202338	NA	NA	0.9635	0.9829	NA	NA	64.3819	32.0157	NA	NA	0.9	TRUE	7629214	2189298	16776463	341634	0	212361	0	0	715726	3139	2413972185	125288748	M	0.4973	M	0.000907	0	0	0.00695	0	0	0.005713	0.000142	2.5e-05
PD_0807	PD_0807	Aotus_azarai_ssp	PLA	Aotidae	Aotus	azarai	ssp	Aotus_nancymaae_ssp	Aotus_azarai_ssp	2961220378	2812013893	149206485	136682344	136682344	NA	NA	NA	2834424346	134262989	NA	NA	118568563780	5272056382	NA	NA	0.9572	0.9823	NA	NA	41.8316	39.2666	NA	NA	0.9	TRUE	7748313	1952354	16872638	363304	190796	0	34542	694420	0	11468	2413972185	125288748	F	0.9387	F	0.000809	0.000276	0.3412	0.00699	0.005543	0.793	0	0.000151	9.2e-05
PD_0808	PD_0808	Aotus_azarai_ssp	PLA	Aotidae	Aotus	azarai	ssp	Aotus_nancymaae_ssp	Aotus_azarai_ssp	2961220378	2812013893	149206485	136682344	136682344	NA	NA	NA	2830410088	134223494	NA	NA	113875665963	5093016948	NA	NA	0.9558	0.982	NA	NA	40.2329	37.9443	NA	NA	0.9	TRUE	7921483	1595645	17066567	352914	190357	0	35970	693742	0	11157	2413972185	125288748	F	0.9431	F	0.000661	0.000287	0.4342	0.00707	0.005537	0.7832	0	0.000146	8.9e-05
